list_price,price_reduced_amount,description.year_built,description.baths_3qtr,description.sold_price,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.garage,description.stories,description.beds,description.type,central_air,dishwasher,fireplace,forced_air,hardwood_floors,washer_dryer,basement,single_story,garage_1_or_more,garage_2_or_more,dining_room,two_or_more_stories,shopping,family_room,central_heat,laundry_room,recreation_facilities,view,community_outdoor_space,city_view,community_security_features,city_mean_price,state_mean_price
555000.0,0.0,1983,0.0,555000.0,2.0,0.0,5850.0,1272.0,2.0,Unknown,1.0,3.0,3.0,single_family,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,763102.2424242424,763102.2424242424
0.0,0.0,1950,0.0,1550000.0,2.0,0.0,16988.0,2499.0,2.0,Unknown,0.0,1.0,3.0,single_family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060152.5,956001.6949152543
420000.0,15500.0,1989,0.0,310000.0,3.0,0.0,22651.0,3137.0,3.0,Unknown,0.0,1.0,4.0,single_family,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,192003.05142857143,192003.05142857143
349900.0,0.0,1965,0.0,376500.0,2.0,1.0,20835.0,2416.0,3.0,Unknown,0.0,2.0,4.0,single_family,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,465869.625,407850.24404761905
410000.0,6900.0,1960,0.0,371000.0,1.0,1.0,7841.0,1472.0,2.0,Unknown,2.0,1.0,3.0,single_family,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,431437.2951807229,431437.2951807229
172000.0,0.0,1920,0.0,102000.0,2.0,0.0,2662.0,1343.0,2.0,Unknown,0.0,2.0,3.0,single_family,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,465869.625,407850.24404761905
290000.0,0.0,1999,0.0,271500.0,1.0,0.0,924.0,858.0,1.0,condo,1.0,2.0,1.0,apartment,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,271500.0,533610.1529411764
0.0,0.0,1968,0.0,10000.0,1.8874299001504582,0.0,5759.0,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,single_family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318379.0489510489,318379.0489510489
750000.0,15000.0,2008,0.0,725000.0,2.0,2.0,2614.0,2496.0,4.0,townhouse,1.0,3.0,3.0,townhomes,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,598383.7195121951,598383.7195121951
450000.0,24000.0,2014,0.0,452000.0,2.0,1.0,3620.0,1932.0,3.0,Unknown,2.0,2.0,4.0,single_family,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,452000.0,460363.5117647059
325000.0,0.0,1990,0.0,313000.0,2.0,0.0,5101.0,1044.0,2.0,Unknown,2.0,1.0,2.0,single_family,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,405142.85714285716,516039.8231707317
498500.0,0.0,1957,1.0,490000.0,1.0,0.0,30300.0,2238.0,2.0,Unknown,2.0,1.0,2.0,single_family,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,460463.07738095237,460363.5117647059
