list_price,price_reduced_amount,description.year_built,description.baths_3qtr,description.sold_price,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.garage,description.stories,description.beds,description.type,lead_attributes.show_contact_an_agent,location.address.postal_code,location.address.state_code,central_air,central_heat,community_outdoor_space,community_security_features,dishwasher,fireplace,hardwood_floors,laundry_room,single_story,garage_1_or_more,garage_2_or_more,city_view,two_or_more_stories,recreation_facilities,shopping,washer_dryer,basement,view,forced_air,family_room,dining_room,city_mean_price,state_mean_price
415000.0,10000.0,2020,0.0,415000,2.0,1.0,1307.0,1518.0,3.0,townhouse,2.0,2.0,3.0,townhomes,True,89701,NV,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,522403.5748502994,522403.5748502994
320000.0,0.0,1978,0.0,320000,1.0,1.0,3920.0,1431.0,2.0,Unknown,2.0,1.0,3.0,single_family,True,53713,WI,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,428299.358974359,429089.71428571426
300000.0,0.0,1983,0.0,287000,1.0,0.0,1133.0,1111.0,1.0,condo,0.0,1.0,1.0,condos,True,30327,GA,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,695772.7272727273,538346.7647058824
80000.0,0.0,1836,0.0,100000,1.0,0.0,1019.0,1240.0,1.0,townhouse,0.0,2.0,2.0,townhomes,True,08611,NJ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,204580.64516129033,260858.89570552149
589999.0,9901.0,2013,0.0,580000,3.0,1.0,2312.0,2980.0,4.0,townhouse,2.0,3.0,3.0,townhomes,True,21409,MD,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,740137.0760233918,740137.0760233918
395000.0,0.0,1968,0.0,395000,2.0,1.0,13068.0,2682.0,3.0,Unknown,2.0,1.0,3.0,single_family,True,53711,WI,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,428299.358974359,429089.71428571426
149900.0,0.0,1954,0.0,149900,1.0,0.0,13504.0,1736.0,1.0,Unknown,0.0,1.0,3.0,single_family,True,36109,AL,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,181802.06172839506,181802.06172839506
249900.0,10100.0,1940,0.0,247400,1.0,0.0,601.0,581.0,1.0,condo,0.0,1.0,1.0,condos,True,30306,GA,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,521587.06293706293,538346.7647058824
277000.0,12000.0,1917,1.0,239000,1.8874299001504582,0.0,4792.0,1040.0,1.0,Unknown,1.0,1.0,2.0,single_family,True,55105,MN,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,349569.641025641,362704.0
335000.0,0.0,2001,0.0,350000,2.0,0.0,4792.0,1648.0,2.0,townhouse,2.0,1.0,3.0,townhomes,True,32311,FL,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,303235.525,303235.525
